Tier 1 Suppliers,Producer Name,Abbreviation Name,Region,Source
Barry Callebaut AG,ste coop anouanze de n'denou,s.ca-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2021
Barry Callebaut AG,ste coop agri allakabo de gly,caag coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2022
Barry Callebaut AG,ste coop agri akayara de datta,scoopaad_datta,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2023
Barry Callebaut AG,ste coop des producteurs de m'bokro,coop ca pm,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2024
Barry Callebaut AG,ste coop s ewounbo de tiassale,ewounbo tiassale,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2025
Barry Callebaut AG,ste gle d'achat et de distribution,sogad,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2026
Barry Callebaut AG,ste coop agri n'zassa de tiassale,scapen,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2027
Barry Callebaut AG,entr coop de gabiadji,ecoga_coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2028
Barry Callebaut AG,ent coop agri de dagadji,ecada,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2029
Barry Callebaut AG,ste coop agri cot lauzoua carrefour,copacol,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2030
Barry Callebaut AG,ste coop yeyasso de man,scoops-yeyasso,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2031
Barry Callebaut AG,ste coop agricole de vavoua,scoava,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2032
Barry Callebaut AG,ste coop av ca ecoagricole de pont nero,ecoan,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2033
Barry Callebaut AG,ste coop simp bada de ketro bassam,cabak scoops,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2034
Barry Callebaut AG,coop des prod agri dept yakasse,coopadya,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2035
Barry Callebaut AG,ste coop espoir simplifiee,scoes scoops,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2036
Barry Callebaut AG,ste coop lafi la boumbou,lafila boumbou,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2037
Barry Callebaut AG,ste coop ivoir de nouveaux agriculteur,coopina coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2038
Barry Callebaut AG,ste coop des jeunes agricult de borobo,coojab coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2039
Barry Callebaut AG,ste coop elite coop agri blolequin,ecab_blolequi,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2040
Barry Callebaut AG,cooperative agricole siakadougou de bida,casib coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2041
Barry Callebaut AG,ste coop des prod agri de duekoue,coopad_duekoue,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2042
Barry Callebaut AG,ste coop agri nesmon,scan coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2043
Barry Callebaut AG,ste coop simpl allah kabo de duekoue,allah-kabo scoops,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2044
Barry Callebaut AG,ste coop de cafe-cacao ivoirien,sococci scoops,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2045
Barry Callebaut AG,ste coop phenix de product agri durable,pheniprad,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2046
Barry Callebaut AG,ste coop des prod agri du fromager,scopaf,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2047
Cargill Cocoa and Chocolate,cooperative bassabougou de dies avec conseil d administration,coobadi coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2048
Cargill Cocoa and Chocolate,cooperative agricole affoubenou de diegonefla,coopaadi coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2049
Cargill Cocoa and Chocolate,cooperative agricole du guemon,coop-ca c.a.g,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2050
Cargill Cocoa and Chocolate,cooperative agricole ambegnafe de duekoue,coop-ca camd,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2051
Cargill Cocoa and Chocolate,cooperative agricole aclomion bla de duekoue,coop-ca-cabd,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2052
Cargill Cocoa and Chocolate,cooperative agricole benguema de duekoue,coop-ca-cabend,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2053
Cargill Cocoa and Chocolate,cooperative des producteurs agricoles bebitafo de duekoue,coop-ca-cooprabed,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2054
Cargill Cocoa and Chocolate,cooperative reference de jacob,coop-ca-reja,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2055
Cargill Cocoa and Chocolate,cooperative entente de la bla,coopebia-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2056
Cargill Cocoa and Chocolate,cooperative kone guido sidibe,kgs coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2057
Cargill Cocoa and Chocolate,cooperative agrocile de koffikro,scoopakof coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2058
Cargill Cocoa and Chocolate,cooperative agricole renaissance de bianouan,socarebia coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2059
Cargill Cocoa and Chocolate,societe cooperative agricole gnamien oble de songan,socoopagos coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2060
Ecom Agrotrade Ltd,societe cooperative agricole espoir de blolequin,scaeb,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2061
Ecom Agrotrade Ltd,societe cooperative agricole de nougbatchi,coopanou,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2062
Ecom Agrotrade Ltd,cooperative agricole toumtoumda du haut sassandra,coopaths - scoops,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2063
Ecom Agrotrade Ltd,cooperative victoire de meagui,covimea,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2064
Ecom Agrotrade Ltd,entreprise cooperative des agriculteurs de meagui,ecafhs coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2065
Ecom Agrotrade Ltd,scoiete cooperative elie tipka du haut sasandra,ecam,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2066
Ecom Agrotrade Ltd,societe cooperative simplifiee sabarykagni du haut sassandra,"scaeths
scoops sahs",,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2067
Olam International Limited,cooperative agricole boribana de hermankono garo,cabohga coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2068
Olam International Limited,societe cooperative agricole des producteurs de lobogrou,coop-ca-capl,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2069
Olam International Limited,societe cooperative agricole de guitry,coop-ca-socoagui,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2070
Olam International Limited,societe cooperative agricole de djimon,scoopadji coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2070
Olam International Limited,societe cooperative agricole de soubre,scasou-coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2071
Olam International Limited,societe cooperative agricole de jeromekro,socaj coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2072
Olam International Limited,societe cooperative des freres unis de watte,scuw coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2073
Olam International Limited,societe cooperative agricole des producteurs agricoles de cavally,scoopac-coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2074
Olam International Limited,societe cooperative solidarite de mahino,socosom-coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2075
Olam International Limited,societe cooperative agricole de neka-cite,socanek-coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2076
Olam International Limited,societe cooperative agricole de amanikro,coop-ca coopaa,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2077
