Tier 1 Suppliers,Producer Name,Abbreviation Name,Region,Source
Barry Callebaut AG,Ste coop Anouanzé de N'Denou,S.CA-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2021
Barry Callebaut AG,Ste Coop Agri Allakabo de Gly,CAAG COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2022
Barry Callebaut AG,Ste Coop Agri Akayara de Datta,SCOOPAAD_DATTA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2023
Barry Callebaut AG,Ste Coop des Producteurs de M'Bokro,COOP CA PM,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2024
Barry Callebaut AG,Ste Coop S EWOUNBO de Tiassalé,EWOUNBO TIASSALE,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2025
Barry Callebaut AG,Ste Gle d'Achat et de Distribution,SOGAD,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2026
Barry Callebaut AG,Ste Coop Agri N'Zassa de Tiassalé,SCAPEN,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2027
Barry Callebaut AG,Entr coop de GABIADJI,ECOGA_COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2028
Barry Callebaut AG,Ent Coop Agri de Dagadji,ECADA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2029
Barry Callebaut AG,Ste Coop agri cot lauzoua carrefour,COPACOL,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2030
Barry Callebaut AG,Ste Coop Yeyasso de Man,SCOOPS-YEYASSO,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2031
Barry Callebaut AG,Ste Coop Agricole de Vavoua,SCOAVA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2032
Barry Callebaut AG,Ste coop av CA Ecoagricole de pont nero,ECOAN,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2033
Barry Callebaut AG,Ste coop Simp bada de ketro bassam,CABAK SCOOPS,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2034
Barry Callebaut AG,coop des prod agri dept yakasse,COOPADYA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2035
Barry Callebaut AG,Ste Coop Espoir Simplifiée,SCOES SCOOPS,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2036
Barry Callebaut AG,Ste coop LAFI LA BOUMBOU,LAFILA BOUMBOU,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2037
Barry Callebaut AG,Ste coop ivoir de nouveaux agriculteur,COOPINA COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2038
Barry Callebaut AG,Ste coop des jeunes agricult de Borobo,COOJAB COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2039
Barry Callebaut AG,Ste Coop Elite coop agri Blolequin,ECAB_BLOLEQUI,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2040
